Province,City,Area Name,Can do delivery
ABRA,ABRA-PILAR,PATAD,1
ABRA,PENARRUBIA,PATIAO,1
ABRA,BUCAY,PATOC,1
ABRA,ABRA-SAN-JUAN,PATTAOIG,1
ABRA,PIDIGAN,PANGTUD,1
ABRA,ABRA-SAN-ISIDRO,PANTOC,1
ABRA,TUBO,ALANGTIN,1
ABRA,DAGUIOMAN,ABLEG,1
ABRA,ABRA-SAN-JUAN,ABUALAN,1
ABRA,MALIBCONG,PACGUED,0
ABRA,MANABO,CATACDEGAN NUEVO,1
ABRA,LAGANGILAN,PAGANAO,1
ABRA,BANGUED,PALAO,1
ABRA,BUCAY,PALAQUIO,1
ABRA,ABRA-PILAR,OCUP,1
ABRA,ABRA-DOLORES,PACAC,1
ABRA,ABRA-DOLORES,POBLACION,1
ABRA,ABRA-PILAR,POBLACION,1
ABRA,TAYUM,PATUCANNAY,1
ABRA,DANGLAS,PANGAL,1
ABRA,TINEG,AGSIMAO POBLACION,1
ABRA,PIDIGAN,ALINAYA,1
ABRA,LAGANGILAN,POBLACION,1
ABRA,LAGAYAN,POBLACION,1
ABRA,LICUAN-(BAAY),POBLACION,0
ABRA,ABRA-SAN-ISIDRO,POBLACION,1
ABRA,ABRA-SAN-QUINTIN,POBLACION,1
ABRA,ABRA-SAN-JUAN,TAGAYTAY,1
ABRA,PENARRUBIA,SANTA ROSA,1
ABRA,VILLAVICIOSA,TAMAC,1
ABRA,ABRA-DOLORES,TALOGTOG,1
ABRA,MANABO,SANTO TOMAS,1
ABRA,SALLAPADAN,SUBUSOB,1
ABRA,ABRA-SAN-JUAN,SUPI-IL,1
ABRA,TUBO,TABACDA,1
ABRA,BUCAY,TABIOG,1
ABRA,BUCAY,SIBLONG,1
ABRA,BUCAY,BANGBANGCAG,1
ABRA,BUCAY,BANGLOLAO,1
ABRA,MANABO,AYYENG,1
ABRA,LANGIDEN,BAAC,1
ABRA,LACUB,BACAG,1
ABRA,BOLINEY,AMTI,1
ABRA,TINEG,ANAYAN,1
ABRA,LAGAYAN,BA-I,1
ABRA,TINEG,APAO,1
ABRA,VILLAVICIOSA,AP-APAYA,1
ABRA,PIDIGAN,ARAB,1
ABRA,MALIBCONG,BUANAO,0
ABRA,TAYUM,BUDAC,1
ABRA,TAYUM,CABAROAN,1
ABRA,DANGLAS,CABARUAN,1
ABRA,BUCAY,BUGBOG,1
ABRA,ABRA-DOLORES,CALUMBAYA,1
ABRA,ABRA-LA-PAZ,BULI,1
ABRA,TAYUM,BUMAGCAT,1
ABRA,LACUB,BUNEG,1
ABRA,TINEG,CAGANAYAN,1
ABRA,ABRA-SAN-JUAN,BA-UG,1
ABRA,ABRA-PILAR,BOLBOLO,1
ABRA,VILLAVICIOSA,BOL-LILISING,1
ABRA,BANGUED,CALABA,1
ABRA,LICUAN-(BAAY),BONGLO (PATAGUI),0
ABRA,SALLAPADAN,BAZAR,1
ABRA,BUCAY,CALAO,1
ABRA,TINEG,BELAAT,1
ABRA,ABRA-PILAR,BROOKSIDE,1
ABRA,PIDIGAN,POBLACION WEST,1
ABRA,ABRA-DOLORES,SALUCAG,1
ABRA,MANABO,SAN JUAN NORTE,1
ABRA,MANABO,SAN JUAN SUR,1
ABRA,ABRA-SAN-ISIDRO,SAN MARCIAL,1
ABRA,BUCAY,SAN MIGUEL,1
ABRA,BANGUED,SAN ANTONIO,1
ABRA,ABRA-LA-PAZ,SAN GREGORIO,1
ABRA,LAGAYAN,PULOT,1
ABRA,LAGANGILAN,SAN ISIDRO,1
ABRA,ABRA-SAN-JUAN,QUIDAOEN,1
ABRA,LANGIDEN,QUILLAT,1
ABRA,BUCAY,QUIMLOONG,1
ABRA,ABRA-SAN-JUAN,SABANGAN,1
ABRA,ABRA-SAN-ISIDRO,SABTAN-OLO,1
ABRA,ABRA-SAN-JUAN,POBLACION SOUTH,1
ABRA,ABRA-LA-PAZ,UDANGAN,1
ABRA,MALIBCONG,UMNAP,0
ABRA,TUBO,TIEMPO,1
ABRA,TUBO,AMTUAGAN,1
ABRA,DAGUIOMAN,CABARUYAN,1
ABRA,TAYUM,VELASCO,1
ABRA,ABRA-LA-PAZ,TOON,1
ABRA,ABRA-PILAR,VILLAVIEJA,1
ABRA,TUBO,SUPO,1
ABRA,ABRA-SAN-QUINTIN,TANGADAN,1
ABRA,TUBO,TUBTUBA,1
ABRA,TUBO,WAYANGAN,1
ABRA,LAGANGILAN,TAPING,1
ABRA,DAGUIOMAN,TUI,1
ABRA,MALIBCONG,TARIPAN,0
ABRA,BANGUED,ZONE 1 POB. (NALASIN),1
ABRA,BANGUED,ZONE 2 POB. (CONSILIMAN),1
ABRA,BANGUED,ZONE 4 POB. (TOWN PROPER),1
ABRA,BANGUED,ZONE 6 POB. (SINAPANGAN),1
ABRA,LACUB,LAN-AG,1
ABRA,ABRA-SAN-JUAN,LUMOBANG,1
ABRA,ABRA-SAN-ISIDRO,LANGBABAN,1
ABRA,ABRA-LA-PAZ,LIGUIS,1
ABRA,MANABO,LUZONG,1
ABRA,MALIBCONG,LAT-EY,0
ABRA,BANGUED,LIPCAN,1
ABRA,LAGANGILAN,LAANG,1
ABRA,ABRA-DOLORES,LUB-LUBBA,1
ABRA,VILLAVICIOSA,LUMABA,1
ABRA,BOLINEY,KILONG-OLAO,1
ABRA,ABRA-DOLORES,KIMMALABA,1
ABRA,TUBO,MAYABO POBLACION,1
ABRA,SALLAPADAN,MAGUYEPYEP,1
ABRA,ABRA-PILAR,NARNARA,1
ABRA,BANGUED,MAOAY,1
ABRA,PENARRUBIA,MALAMSIT,1
ABRA,LICUAN-(BAAY),MOGAO,0
ABRA,LANGIDEN,MALAPAAO,1
ABRA,MALIBCONG,MALIBCONG,0
ABRA,LANGIDEN,MABUNGTOT,1
ABRA,ABRA-LA-PAZ,MUDENG,1
ABRA,ABRA-DOLORES,MUDIIT,1
ABRA,BANGUED,MACRAY,1
ABRA,BANGUED,MALITA,1
ABRA,DANGLAS,NAGAPARAN,1
ABRA,ABRA-PILAR,NAGCANASAN,1
ABRA,MALIBCONG,MATARAGAN,0
ABRA,SALLAPADAN,NAGUILIAN,1
ABRA,LICUAN-(BAAY),NALBUAN,0
ABRA,PENARRUBIA,NAMARABAR,1
ABRA,ABRA-SAN-ISIDRO,MANAYDAY,1
ABRA,LICUAN-(BAAY),DOMENGLAY,0
ABRA,BANGUED,COSILI EAST (PROPER),1
ABRA,BUCLOC,DUCLIGAN,1
ABRA,MALIBCONG,DULAO,0
ABRA,MALIBCONG,DULDULAO,0
ABRA,PENARRUBIA,DUMAYCO,1
ABRA,TAYUM,GADDANI,1
