Barangay,City,Province,Postal Code,Barangay Code
50th District (Pob.),Ozamiz City,Misamis Occidental,7200,PH50101G
A-et,Sulat,Eastern Samar,6815,PH392201
A. Beltran,Jabonga,Agusan del Norte,8607,PH730503
A. Bonifacio,Llanera,Nueva Ecija,3126,PH131501
A. Bonifacio,Bulan,Sorsogon,4706,PH270201
A. Bonifacio,Mayorga,Leyte,6507,PH402801
A. Bonifacio-Caguioa-Rimando,Baguio City,Benguet,2600,PH64022U
A. Dalusag,General Emilio Aguinaldo,Cavite,4124,PH180701
A. Mabini,Guinayangan,Quezon,4319,PH201201
A. O. Floirendo,Panabo City,Davao del Norte,8105,PH520501
A. Pascual,San Jose City,Nueva Ecija,3121,PH132601
A. Rivera (Pob.),Hermosa,Bataan,2111,PH110501
Ab-abut,Piddig,Ilocos Norte,2912,PH011801
Ababa-an,Balbalan,Kalinga,3801,PH660101
Abaca,Bangui,Ilocos Norte,2920,PH010401
Abaca,Dupax del Sur,Nueva Vizcaya,3707,PH080801
Abaca,Cataingan,Masbate,5405,PH260501
Abaca,Tobias Fornier,Antique,5716,PH290701
Abaca,San Enrique,Iloilo,5036,PH323601
Abaca,Cauayan,Negros Occidental,6112,PH330701
Abaca,Mabini,Bohol,6313,PH343101
Abaca,Dagami,Leyte,6515,PH401201
Abaccan,Sigay,Ilocos Sur,2719,PH022901
Abachanan,Sierra Bullones,Bohol,6320,PH344001
Abad Santos,Bulan,Sorsogon,4706,PH270202
Abad Santos,Mabini,Bohol,6313,PH343102
Abad Santos,Santa Monica,Surigao del Norte,8422,PH761601
Abaga,Baloi,Lanao del Norte,9217,PH490201
Abaga,Lala,Lanao del Norte,9211,PH490901
Abaga,Nunungan,Lanao del Norte,9216,PH491501
Abaga,Libungan,North Cotabato,9411,PH570501
Abaga,Balindong,Lanao del Sur,9318,PH690301
Abaga,Madalum,Lanao del Sur,9315,PH691201
Abagao,Camalaniugan,Cagayan,3510,PH061001
Abagao,Lal-Lo,Cagayan,3509,PH061601
Abagat (Pob.),Agutaya,Palawan,5320,PH810206
Abagon,Gerona,Tarlac,2302,PH150601
Abanao-Zandueta-Kayong-Chugum-Otek,Baguio City,Benguet,2600,PH64022X
Abang,Lucban,Quezon,4328,PH201701
Abang,Bucay,Abra,2805,PH620301
Abang-abang,Alimodian,Iloilo,5028,PH320201
Abangan Norte,Marilao,Bulacan,3019,PH121101
Abangan Sur,Marilao,Bulacan,3019,PH121102
Abangay,Tapaz,Capiz,5814,PH301701
Abangay,Dingle,Iloilo,5035,PH321501
Abangay,Janiuay,Iloilo,5034,PH322201
Abangay,Pototan,Iloilo,5008,PH323401
Abango,Barugo,Leyte,6519,PH400501
Abanilla,Calubian,Leyte,6534,PH400901
Abanon,San Carlos City,Pangasinan,2420,PH043201
Abanqueruan,Pamplona,Cagayan,3522,PH061801
Abante,Pamplona,Negros Oriental,6205,PH361601
Abaquid,Danglas,Abra,2825,PH620601
Abar 2nd,San Jose City,Nueva Ecija,3121,PH132603
Abar Ist,San Jose City,Nueva Ecija,3121,PH132602
Abariongan Ruar,Santo Nino,Cagayan,3525,PH062601
Abariongan Uneg,Santo Nino,Cagayan,3525,PH062602
Abaroan,Roxas,Palawan,5308,PH811801
Abas,Pilar,Sorsogon,4714,PH271201
Abat,Mina,Iloilo,5032,PH322901
Abatan,Buguias,Benguet,2607,PH640501
Abatan,Hungduan,Ifugao,3603,PH650201
Abatan,Bauko,Mountain Province,2621,PH670201
Abaton,Laoang,Northern Samar,6411,PH410801
Abay,Maasin,Iloilo,5030,PH322701
Abaya,Galimuyod,Ilocos Sur,2709,PH020901
Abbag,Maddela,Quirino,3404,PH090401
Abbeg,Alcala,Cagayan,3507,PH060201
Abdullah Buisan,Masiu,Lanao del Sur,9706,PH691701
Abehilan,San Isidro,Bohol,6345,PH343701
Abejao,Salcedo,Eastern Samar,6807,PH391901
Abella,Ligao City,Albay,4504,PH220801
Abella,Naga City,Camarines Sur,4400,PH242401
Abelo,San Nicolas,Batangas,4207,PH172501
Aberawan,El Nido,Palawan,5313,PH81120J
Abeto Mirasol Taft South,Iloilo City,Iloilo,5000,PH32214P
Abgao,Malitbog,Southern Leyte,6603,PH430901
Abgao (Pob.),Maasin City,Southern Leyte,6600,PH430701
Abiacao,San Luis,Batangas,4210,PH172401
Abian,Bambang,Nueva Vizcaya,3702,PH080401
Abiang,Atok,Benguet,2612,PH640101
Abiawin,Infanta,Quezon,4336,PH201401
Abiera,Sebaste,Antique,5709,PH291501
Abihao,Baras,Catanduanes,4803,PH250201
Abihid,Dimiao,Bohol,6305,PH342001
Abihilan,Candijay,Bohol,6312,PH341101
Abijao,Villaba,Leyte,6537,PH404301
Abijilan,Garcia Hernandez,Bohol,6307,PH342201
Abijod,Cateel,Davao Oriental,8205,PH540501
Abilan,Buenavista,Agusan del Norte,8601,PH730101
Abilay,Maasin,Iloilo,5030,PH322702
Abilay Norte,Oton,Iloilo,5020,PH323101
Abilay Sur,Oton,Iloilo,5020,PH323102
Abinganan,Bambang,Nueva Vizcaya,3702,PH080402
Abinuan,Lagawe (Capital),Ifugao,3600,PH650401
Abis,Mabinay,Negros Oriental,6207,PH361401
Abkir,Vintar,Ilocos Norte,2915,PH012301
Ablan Pob.,Batac City,Ilocos Norte,2906,PH01050N
Ablan Sarat,Burgos,Ilocos Norte,2410,PH010601
Ablang-Sapang,Moncada,Tarlac,2308,PH150901
Ablayan,Dalaguete,Cebu,6022,PH352201
Ableg,Daguioman,Abra,2816,PH620501
Ableg,Pasil,Kalinga,3803,PH660301
